Resource Pool,Scheduler,Injection Rate (Mbps),Trial 1,Avg. execution time / app.(ns),Avg. cumulative execution time / app. (ns),Avg. Scheduling overhead / app.(ns), cpu1, cpu2, cpu3, cpu4, cpu5, cpu6, cpu7, fft1, fft2, fft3, fft4, fft5, fft6, fft7, fft8, mmult1, mmult2, zip1, zip2, gpu1
C1+F0+M0+Z0+G0,MET,1500,10695168.90140845,227841885.29577464,10695168.90140845,1171394.2535211267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1000,10662421.183098592,212631270.30985916,10662421.183098592,846072.338028169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,500,12816103.211267605,156716402.028169,12816103.211267605,1138192.2253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,100,10171295.09859155,43459575.887323946,10171295.09859155,657643.7183098592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,10,10273622.084507043,45264380.84507042,10273622.084507043,902006.985915493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1800,12635093.633802816,191465333.63380283,12635093.633802816,645147.9436619718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1300,11194505.014084507,197863501.52112675,11194505.014084507,633880.338028169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,800,10594493.295774648,173133024.45070422,10594493.295774648,821922.7042253522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,300,12567498.366197184,130139923.83098592,12567498.366197184,1223131.4929577464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,50,12499564.61971831,54481083.94366197,12499564.61971831,1248518.7605633803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1700,12593825.352112677,175901653.18309858,12593825.352112677,805731.1549295775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1200,10888640.0,215635392.90140846,10888640.0,918695.661971831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,700,10796058.591549296,155151584.45070422,10796058.591549296,830664.5633802817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,200,10235867.943661971,53346223.774647884,10235867.943661971,892375.8873239437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,70,10097421.971830986,49869682.47887324,10097421.971830986,1333113.690140845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,30,10813244.845070422,46123196.84507042,10813244.845070422,865501.7464788732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,80,9935075.605633803,43332895.09859155,9935075.605633803,609467.0422535212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,20,10756104.563380282,42872690.02816901,10756104.563380282,673933.0704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1900,12428338.47887324,174369288.56338027,12428338.47887324,602581.6338028169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1600,11182370.704225352,172358868.28169015,11182370.704225352,590476.6197183098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1100,11374582.985915493,233639210.36619717,11374582.985915493,1195084.1690140846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,600,12520173.971830986,152621433.69014084,12520173.971830986,753917.7464788732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,90,10106673.57746479,44138565.40845071,10106673.57746479,627632.2253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,40,10870645.183098592,49285044.73239437,10870645.183098592,1225533.7464788733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,MET,1400,11196684.61971831,223343428.05633804,11196684.61971831,1192539.9436619717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,2000,12077344.450704226,167941477.85915494,12077344.450704226,630650.5915492958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,1500,10467806.647887323,231189496.33802816,10467806.647887323,1172747.2676056337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,1000,10459518.197183099,156610486.53521127,10459518.197183099,606176.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,500,12420786.929577464,94197423.77464789,12420786.929577464,596566.985915493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,100,10285878.535211267,43348827.94366197,10285878.535211267,683459.6056338028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,10,10466953.464788733,46795914.81690141,10466953.464788733,1307869.7464788733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,1800,12655929.239436619,195646186.81690142,12655929.239436619,626237.7464788732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,1300,11172548.95774648,210802156.6197183,11172548.95774648,813578.8169014085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,800,10540713.915492957,147698052.50704226,10540713.915492957,755063.8873239437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,300,12181685.633802816,80296870.30985916,12181685.633802816,796776.5633802817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,50,12255822.873239437,50586254.42253521,12255822.873239437,818001.5774647887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,1700,12521739.718309859,184906591.54929578,12521739.718309859,619535.323943662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,1200,10819197.295774648,200849729.8028169,10819197.295774648,826770.9295774648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,700,11029023.549295774,216129427.3802817,11029023.549295774,1194366.647887324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,200,10394384.225352112,62241273.69014084,10394384.225352112,1170806.985915493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,70,9904646.760563381,43195092.28169014,9904646.760563381,629613.0704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,30,10631154.47887324,44711221.633802816,10631154.47887324,724592.2253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,80,9963813.408450704,49737513.464788735,9963813.408450704,1195633.1267605633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,20,10609869.52112676,42379142.30985916,10609869.52112676,661798.7605633803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,1900,12565194.816901408,191710229.18309858,12565194.816901408,610018.2535211268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,1600,11219606.084507043,214740754.028169,11219606.084507043,640118.985915493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,1100,11189380.507042253,186021956.05633804,11189380.507042253,577925.4084507042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,600,12496272.225352112,129363610.59154929,12496272.225352112,738132.2816901408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,90,10190611.830985915,44473310.64788733,10190611.830985915,812037.4084507042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,40,10854802.929577464,49562065.57746479,10854802.929577464,1219190.0845070423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,EFT,1400,10988491.267605634,177657487.32394367,10988491.267605634,652805.4084507042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,2000,10801026.253521128,199247691.71830985,10801026.253521128,856620.6197183098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,1500,10437216.90140845,223049280.45070422,10437216.90140845,1230253.5211267606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,1000,11329912.788732395,259524266.81690142,11329912.788732395,1218346.366197183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,500,13043867.04225352,160141250.70422536,13043867.04225352,939307.2676056338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,100,10176062.647887323,43589932.16901408,10176062.647887323,642942.647887324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,10,10623026.028169014,43264055.43661972,10623026.028169014,663716.0563380282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,1800,12590952.112676056,194440442.14084506,12590952.112676056,832858.1408450705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,1300,11149326.873239437,247581235.3802817,11149326.873239437,1244226.2535211267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,800,10932242.929577464,254515372.6197183,10932242.929577464,1181751.4366197183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,300,12151943.211267605,57137472.450704224,12151943.211267605,572776.5633802817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,50,12165590.084507043,46638213.40845071,12165590.084507043,661781.6338028169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,1700,12779255.887323944,220058584.78873238,12779255.887323944,1005257.9154929577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,1200,11023970.704225352,225450506.36619717,11023970.704225352,1235451.4929577464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,700,10836154.14084507,188733917.7464789,10836154.14084507,1231853.0704225353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,200,10297128.112676056,45655373.97183099,10297128.112676056,629496.338028169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,70,10064207.323943662,44999669.18309859,10064207.323943662,636628.2816901408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,30,10863670.084507043,49231021.07042254,10863670.084507043,1422746.5915492957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,80,9851016.563380282,43227844.957746476,9851016.563380282,678400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,20,10899312.225352112,47693123.15492958,10899312.225352112,1239617.8028169014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,1900,12929256.563380282,223821123.6056338,12929256.563380282,799760.676056338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,1600,11221484.61971831,195772685.07042253,11221484.61971831,846833.1267605633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,1100,11049401.690140845,160083156.73239437,11049401.690140845,692016.2253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,600,12120187.492957747,88078359.88732395,12120187.492957747,604370.9295774648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,90,10488599.887323944,46741544.56338028,10488599.887323944,837359.323943662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,40,10764995.154929578,48905057.35211267,10764995.154929578,1237846.5352112676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1+F0+M0+Z0+G0,ETF,1400,10806609.57746479,158653508.95774648,10806609.57746479,638385.1267605633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,2000,11777809.57746479,200986327.88732395,11777809.57746479,1157097.014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,1500,11068237.971830986,169596528.2253521,11068237.971830986,890218.8169014085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,1000,11850540.169014085,170143462.76056337,11850540.169014085,857003.2676056338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,500,13034206.197183099,102668050.47887324,13034206.197183099,810035.8309859155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,100,10306205.295774648,43741003.71830986,10306205.295774648,930496.9014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,10,11004743.661971832,47489373.295774646,11004743.661971832,1364417.8028169014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,1800,13288240.225352112,195768745.01408452,13288240.225352112,1202384.676056338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,1300,11829189.85915493,181617142.08450705,11829189.85915493,939328.9014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,800,11284416.0,163974253.971831,11284416.0,942743.4366197183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,300,12554868.732394366,63822456.33802817,12554868.732394366,1251942.309859155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,50,10459725.52112676,44185462.08450704,10459725.52112676,970322.9295774648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,1700,13485824.450704226,182822680.33802816,13485824.450704226,1137923.6056338027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,1200,11866553.690140845,204245236.73239437,11866553.690140845,1157169.5774647887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,700,11592770.704225352,179065754.14084506,11592770.704225352,922823.661971831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,200,10520021.633802816,47233248.0,10520021.633802816,962505.9154929577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,70,10172856.338028168,43450677.633802816,10172856.338028168,907013.8591549295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,30,10845097.014084507,45401647.774647884,10845097.014084507,1072354.704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,80,10243694.873239437,43846674.47887324,10243694.873239437,1181354.8169014084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,20,11058910.197183099,45452202.366197184,11058910.197183099,1200189.7464788733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,1900,13455925.633802816,191990884.50704226,13455925.633802816,916834.2535211268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,1600,11755763.830985915,206524835.15492958,11755763.830985915,891911.661971831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,1100,11790409.464788733,215337030.30985916,11790409.464788733,1133565.295774648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,600,11676410.591549296,150603385.69014084,11676410.591549296,1119486.647887324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,90,10324794.591549296,44314313.464788735,10324794.591549296,1163878.309859155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,40,10971054.873239437,47860516.957746476,10971054.873239437,1281542.309859155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,SIMPLE,1400,12156364.169014085,203933796.05633804,12156364.169014085,1071034.5915492957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,2000,11924529.57746479,226321947.04225352,11924529.57746479,1272417.8028169014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,1500,11522531.154929578,199380160.45070422,11522531.154929578,1117900.61971831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,1000,11714035.38028169,162496135.66197184,11714035.38028169,941963.7183098592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,500,13256119.887323944,108233354.36619718,13256119.887323944,1097315.6056338027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,100,10362316.61971831,44902712.788732395,10362316.61971831,1028783.7746478873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,10,11142495.549295774,47246031.32394366,11142495.549295774,1358605.0704225353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,1800,13357699.154929578,199890896.2253521,13357699.154929578,908764.8450704225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,1300,12104005.408450704,206404965.4084507,12104005.408450704,1301032.1126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,800,11401977.690140845,172060664.78873238,11401977.690140845,1161657.690140845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,300,12503635.830985915,61231411.38028169,12503635.830985915,1141650.9295774647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,50,10429032.563380282,44972533.633802816,10429032.563380282,1268424.1126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,1700,13475505.126760563,204211056.67605633,13475505.126760563,950042.5915492958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2+F0+M0+Z0+G0,MET,1200,11392396.169014085,148686833.12676057,11392396.169014085,940989.2957746478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
